,temp,press,Source,Pressure,Temperature
1,194.5,20.79,Forbes,70.4030481,90.27777778
2,194.3,20.79,Forbes,70.4030481,90.16666667
3,197.9,22.4,Forbes,75.855136,92.16666667
4,198.4,22.67,Forbes,76.7694613,92.44444444
5,199.4,23.15,Forbes,78.3949285,93
6,199.9,23.35,Forbes,79.0722065,93.27777778
7,200.9,23.89,Forbes,80.9008571,93.83333333
8,201.1,23.99,Forbes,81.2394961,93.94444444
9,201.4,24.02,Forbes,81.3410878,94.11111111
10,201.3,24.01,Forbes,81.3072239,94.05555556
11,203.6,25.14,Forbes,85.1338446,95.33333333
12,204.6,26.57,Forbes,89.9763823,95.88888889
13,209.5,28.49,Forbes,96.4782511,98.61111111
14,208.6,27.76,Forbes,94.0061864,98.11111111
15,210.7,29.04,Forbes,98.3407656,99.27777778
16,211.9,29.88,Forbes,101.1853332,99.94444444
17,212.2,30.06,Forbes,101.7948834,100.1111111
18,210.8,29.211,Hooker,98.91983829,99.33333333
19,210.2,28.559,Hooker,96.71191201,99
20,208.4,27.972,Hooker,94.72410108,98
21,202.5,24.697,Hooker,83.63367383,94.72222222
22,200.6,23.726,Hooker,80.34548914,93.66666667
23,200.1,23.369,Hooker,79.13654791,93.38888889
24,199.5,23.03,Hooker,77.9885617,93.05555556
25,197,21.892,Hooker,74.13484988,91.66666667
26,196.4,21.928,Hooker,74.25675992,91.33333333
27,196.3,21.654,Hooker,73.32888906,91.27777778
28,195.6,21.605,Hooker,73.16295595,90.88888889
29,193.4,20.48,Hooker,69.3532672,89.66666667
30,193.6,20.212,Hooker,68.44571468,89.77777778
31,191.4,19.758,Hooker,66.90829362,88.55555556
32,191.1,19.49,Hooker,66.0007411,88.38888889
33,190.6,19.386,Hooker,65.64855654,88.11111111
34,189.5,18.869,Hooker,63.89779291,87.5
35,188.8,18.356,Hooker,62.16057484,87.11111111
36,188.5,18.507,Hooker,62.67191973,86.94444444
37,185.7,17.267,Hooker,58.47279613,85.38888889
38,186,17.221,Hooker,58.31702219,85.55555556
39,185.6,17.062,Hooker,57.77858618,85.33333333
40,184.1,16.959,Hooker,57.42978801,84.5
41,184.6,16.881,Hooker,57.16564959,84.77777778
42,184.1,16.817,Hooker,56.94892063,84.5
43,183.2,16.385,Hooker,55.48600015,84
44,182.4,16.235,Hooker,54.97804165,83.55555556
45,181.9,16.106,Hooker,54.54119734,83.27777778
46,181.9,15.928,Hooker,53.93841992,83.27777778
47,181,15.919,Hooker,53.90794241,82.77777778
48,180.6,15.376,Hooker,52.06913264,82.55555556