Arr Date,Dep Date,Ship,Berth,Port,Agent,To
Fri 01 Feb 2019 19:00,,MILDRED,BSE Maritime Solutions,Brisbane,Bhagwan Marine Brisbane,
Fri 01 Feb 2019 19:00,,MDT 1501,BSE Maritime Solutions,Brisbane,Bhagwan Marine Brisbane,
Fri 01 Mar 2019 14:50,Wed 20 Mar 2019 00:00,INCEPTION,North Anchorage 27,Hay Point,Sturrock Grindrod Maritime (Mackay),DBCT Berth 4
Fri 01 Mar 2019 17:30,Fri 15 Mar 2019 01:00,CHAMPION PULA,East Anchorage 8,Gladstone,Monson Agencies Australia (Gladstone),South Trees East
Fri 07 Dec 2018 02:20,Tue 18 Dec 2018 18:00,GALILEO,Skardon River Anchorage,Skardon River,Monson Agencies Australia (Brisbane),SEA
Fri 08 Mar 2019 10:02,Wed 20 Mar 2019 00:00,CAPE SPENCER,South Anchorage 09,Hay Point,Wilhelmsen Ships Services (Mackay),HPS Berth 1
Fri 08 Mar 2019 11:27,Wed 20 Mar 2019 12:34,CLIA,East Anchorage 2,Gladstone,Inchcape Shipping Services (Queensland),Clinton Coal
Fri 08 Mar 2019 20:45,Thu 14 Mar 2019 23:00,RIGI VENTURE,Point Cartwright Anchorage,Brisbane,Monson Agencies Australia (Brisbane),Fisherman Island General Purpose Berth
Fri 13 Jul 2018 12:43,,TOUARAKEN III,Inner Harbour Anchorage,Thursday Island,Owner / Agent / Master (Cairns),
Fri 14 Dec 2018 13:20,,PMG SWORDFISH,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Fri 14 Dec 2018 13:20,,PMG 122,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Fri 15 Dec 2017 00:30,,REEFWORLD 1,BSE Maritime Solutions,Brisbane,Pacific Tug (Australia) Pty Ltd,
Fri 15 Feb 2019 14:51,,PMG 150,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Fri 17 Aug 2018 08:20,,KOCHI,City,Brisbane,Pacific Tug (Australia) Pty Ltd,
Fri 17 Aug 2018 13:30,,PT MARY,Queensport,Brisbane,Pacific Tug (Australia) Pty Ltd,
Fri 18 Jan 2019 00:45,,BE MINE,Sailfish Quay 11,Cairns,Carter Marine Agencies,
Fri 21 Jul 2017 08:05,,SHEERLEGS,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Fri 22 Dec 2017 12:30,,AMS 1807,Cairncross  Fitting Out No 1,Brisbane,Bhagwan Marine Brisbane,
Fri 24 Nov 2017 11:30,,MALU TRADER,Admiralty Anchorage,Cairns,Sea Swift Pty Ltd,
Fri 27 Oct 2017 09:00,,AMS ORION,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Fri 27 Oct 2017 14:31,,VOYAGER,City,Brisbane,Owner / Agent / Master (Brisbane),
Fri 28 Apr 2017 10:15,,SUNLOVER PONTOON 2,Admiralty Anchorage,Cairns,Tim North Marine Pty Ltd,
Fri 28 Dec 2018 00:21,,TSA 3001,Bulk Loading Facility,Skardon River,Transhipment Services Australia Pty Ltd,
Fri 28 Dec 2018 07:53,,PROFIT RADIANCE,Bulk Loading Facility,Skardon River,Transhipment Services Australia Pty Ltd,
Mon 01 Oct 2018 12:23,,GROPER,Queensport,Brisbane,Pacific Tug (Australia) Pty Ltd,
Mon 04 Mar 2019 01:45,Tue 19 Mar 2019 00:00,DIONE,North Anchorage 09,Hay Point,LBH Australia Pty Ltd (Mackay),DBCT Berth 1
Mon 04 Mar 2019 14:35,Mon 18 Mar 2019 12:34,OLYMPIC HARMONY,Fairway Buoy Anchorage,Gladstone,Inchcape Shipping Services (Queensland),Clinton Coal
Mon 04 Mar 2019 20:36,Sun 17 Mar 2019 00:00,STAR LUNA,South Anchorage 05,Hay Point,Wilhelmsen Ships Services (Mackay),HPS Berth 3
Mon 04 Mar 2019 23:48,Wed 20 Mar 2019 00:00,RISING HIMEJI,North Anchorage 02,Hay Point,Gulf Agency Company (Mackay),DBCT Berth 3
Mon 06 Aug 2018 14:45,,QUANDAMOOKA,Toondah Harbour,Brisbane,Bhagwan Marine Brisbane,
Mon 07 Jan 2019 16:00,,SAINT VINCENT,Queensport,Brisbane,Bhagwan Marine Brisbane,
Mon 07 Mar 2016 18:36,,GIPPSLAND,Brisbane Ship Lifts,Brisbane,Owner / Agent / Master (Brisbane),
Mon 11 Jun 2018 20:30,,ASTERIA,BSE Maritime Solutions,Brisbane,Carter Marine Agencies,
Mon 11 Mar 2019 06:24,Thu 14 Mar 2019 23:00,ECO DESTINY,South Trees East,Gladstone,Monson Agencies Australia (Gladstone),SEA
Mon 11 Mar 2019 06:40,Tue 19 Mar 2019 00:00,AGIOS CHARALAMBOS,Off Shore Anchorage 09,Hay Point,Sturrock Grindrod Maritime (Mackay),DBCT Berth 1
Mon 11 Mar 2019 11:25,,PACIFIC 1801,Duck Pond,Cairns,Carpentaria Contracting,
Mon 11 Mar 2019 15:20,Sat 16 Mar 2019 12:34,LORETTA,Rivergate Yacht Marina,Brisbane,Owner / Agent / Master (Brisbane),SEA
Mon 11 Mar 2019 18:20,Fri 29 Mar 2019 00:00,CENTURION,North Anchorage 12,Hay Point,Sturrock Grindrod Maritime (Mackay),DBCT Berth 1
Mon 11 Mar 2019 23:30,Sun 17 Mar 2019 07:30,JP MAGENTA,North Anchorage 22,Hay Point,Gulf Agency Company (Mackay),DBCT Berth 1
Mon 11 Mar 2019 23:52,Thu 14 Mar 2019 18:00,BBC ALBERTA,Cairns 07 Wharf,Cairns,Gulf Agency Company (Northern Ports),Cairns Anchorage
Mon 16 Apr 2018 08:20,,WIDE BAY,Queensport,Brisbane,Pacific Tug (Australia) Pty Ltd,
Mon 16 Jul 2018 06:43,,ENDURANCE III,Cora Bank South Channel,Weipa,Toll Energy and Marine Logistics (Cairns & Townsville),
Mon 16 Jul 2018 20:20,,MDT 82,Queensport,Brisbane,Bhagwan Marine Brisbane,
Mon 17 Jul 2017 11:40,,M 1201,Clinton Swing Basin Anchorage,Gladstone,Wilhelmsen Ships Service (Gladstone),
Mon 17 Jul 2017 13:05,,PORT FREDERICK,Toondah Harbour,Brisbane,Owner / Agent / Master (Brisbane),
Mon 17 Jul 2017 22:03,,BHAGWAN JACKAL,Queensport,Brisbane,Bhagwan Marine Brisbane,
Mon 17 Jul 2017 22:08,,MDT RELIANCE,Queensport,Brisbane,Bhagwan Marine Brisbane,
Mon 18 Apr 2016 18:40,,AQUANE,Queensport,Brisbane,Wave Shipping Pty Ltd,
Mon 18 Feb 2019 09:30,Mon 18 Mar 2019 09:00,PMG EMERALD,Slipway,Mackay,Pacific Marine Group Pty Ltd,SEA MKY
Mon 18 Feb 2019 11:09,,SEALIFT 4,Tug Harbour Lease A,Hay Point,Owner / Agent / Master (Mackay),
Mon 18 Feb 2019 11:30,Thu 21 Mar 2019 00:00,KM KOBE,Abbot Point Anchorage,Abbot Point,Inchcape Shipping Services (Queensland),Abbot Point To Be Confirmed
Mon 19 Nov 2018 16:50,,PMG 121,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Mon 21 Jan 2019 10:15,,PURSUIT,Gold Coast City Marina,Southport,Australian Superyacht Services Queensland Pty Ltd,
Mon 25 Feb 2019 18:45,Tue 19 Mar 2019 00:00,ENERGY TRITON,North Anchorage 24,Hay Point,Monson Agencies Australia (Mackay),DBCT Berth 1
Mon 25 Jun 2018 15:00,,NAUTILUS,Fisherman Island Pump Out,Brisbane,Bhagwan Marine Brisbane,
Mon 26 Nov 2018 16:51,,CORAL EXPEDITIONS,Cairns 01 Wharf,Cairns,Coral Expeditions,
Mon 27 Feb 2017 16:02,,NUGINISTAR,Marina,Gladstone,Owner / Agent / Master (Gladstone),
Mon 28 May 2018 10:00,,ALAN TICEHURST,Townsville Marine Precinct 1,Townsville,Port of Townsville Limited,
Mon 28 May 2018 10:00,,MAX HOOPER,Townsville Marine Precinct 1,Townsville,Port of Townsville Limited,
Sat 05 Nov 2016 14:54,,FURY,Queensport,Brisbane,Owner / Agent / Master (Brisbane),
Sat 07 Jul 2018 14:27,,COBIA,Queensport,Brisbane,Pacific Tug (Australia) Pty Ltd,
Sat 09 Feb 2019 14:54,,SEA FORCE,Queensport,Brisbane,Bhagwan Marine Brisbane,
Sat 09 Feb 2019 14:54,,CASILIS,Queensport,Brisbane,Bhagwan Marine Brisbane,
Sat 09 Mar 2019 19:21,Fri 15 Mar 2019 19:30,INTERLINK MOBILITY,Townsville 10,Townsville,Townsville Shipping Agencies (Townsville),SEA
Sat 09 Mar 2019 19:52,Tue 19 Mar 2019 12:34,CAPE FUSHEN,North Anchorage 3,Gladstone,Monson Agencies Australia (Gladstone),Clinton Coal
Sat 09 Mar 2019 23:56,Fri 15 Mar 2019 17:30,AFRICAN JAY,Wagners,Brisbane,Wagners Cement,SEA
Sat 12 Aug 2017 19:00,,MORETON,Queensport,Brisbane,Pacific Tug (Australia) Pty Ltd,
Sat 14 Jul 2018 09:00,,PMG HARMONY,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Sat 14 Jul 2018 17:38,,LARCOM,Marina,Gladstone,Inchcape Shipping Services (Queensland),
Sat 15 Sep 2018 21:59,,RHUMB 4113,Queensport,Brisbane,Bhagwan Marine Brisbane,
Sat 16 Dec 2017 19:30,,SOUTHERN CLOUD,Rivergate Yacht Marina,Brisbane,Owner / Agent / Master (Brisbane),
Sat 16 Feb 2019 15:36,,HANDY STRANGER,Anchorage Roadstead,Karumba,Inchcape Shipping Services (Queensland),
Sat 17 Nov 2018 13:00,,BRIBIE,Raptis Trawler Berths,Brisbane,Pacific Tug (Aust) PTY LTD,
Sat 23 Feb 2019 04:40,Tue 19 Mar 2019 00:00,FLAG TRIAS,North Anchorage 21,Hay Point,Monson Agencies Australia (Mackay),DBCT Berth 1
Sat 23 Feb 2019 21:42,Thu 28 Mar 2019 00:00,HYUNDAI VISION,North Anchorage 05,Hay Point,LBH Australia Pty Ltd (Mackay),DBCT Berth 1
Sat 24 Feb 2018 08:28,,WIGGINS SUPPLIER,Admiralty Anchorage,Cairns,East Coast Maritime Pty Ltd,
Sat 25 Aug 2018 16:45,,COOCHIE,Queensport,Brisbane,Bhagwan Marine Brisbane,
Sat 29 Oct 2016 09:12,,COMAL III,NQEA Cairns Slipway,Cairns,Sea Swift Pty Ltd,
Sun 02 Dec 2018 06:00,Mon 10 Dec 2018 15:00,KALEY,Skardon River Anchorage,Skardon River,Monson Agencies Australia (Brisbane),SEA
Sun 02 Sep 2018 21:37,,EVERGLADE,Admiralty Anchorage,Cairns,Carpentaria Contracting,
Sun 03 Mar 2019 01:06,,WUNMA,MMG Export Wharf,Karumba,P&O Maritime Karumba,
Sun 03 Mar 2019 14:30,Thu 14 Mar 2019 17:30,ANNA G.,Abbot Point Anchorage,Abbot Point,Sturrock Grindrod Maritime (Northern Ports),Abbot Point 1
Sun 03 Mar 2019 17:30,Wed 27 Mar 2019 00:00,FPMC B 108,Off Shore Anchorage 08,Hay Point,LBH Australia Pty Ltd (Mackay),HPS Berth 1
Sun 03 Mar 2019 23:00,Tue 19 Mar 2019 00:00,CAPE EMERALD,North Anchorage 28,Hay Point,Monson Agencies Australia (Mackay),DBCT Berth 3
Sun 06 Aug 2017 14:58,,SLEDGEHAMMER,Clinton Swing Basin Anchorage,Gladstone,Owner / Agent / Master (Gladstone),
Sun 06 Jan 2019 00:30,,ANDO,Queensport,Brisbane,Bhagwan Marine Brisbane,
Sun 06 Jan 2019 00:30,,PM SOUTH,Queensport,Brisbane,Bhagwan Marine Brisbane,
Sun 08 Jul 2018 15:15,,LEONORA,Queensport,Brisbane,Bhagwan Marine Brisbane,
Sun 09 Sep 2018 06:30,,REEF HAVEN,Admiralty Anchorage,Cairns,Tim North Marine Pty Ltd,
Sun 10 Feb 2019 21:42,Sun 17 Mar 2019 00:00,CAPE PROGRESS,North Anchorage 20,Hay Point,Monson Agencies Australia (Mackay),DBCT Berth 1
Sun 10 Mar 2019 00:24,Thu 21 Mar 2019 00:00,SHINYO ENDEAVOUR,Abbot Point Anchorage,Abbot Point,Inchcape Shipping Services (Queensland),Abbot Point To Be Confirmed
Sun 10 Mar 2019 10:42,Wed 20 Mar 2019 12:34,SEA TRIUMPH,North Anchorage 2,Gladstone,Monson Agencies Australia (Gladstone),Clinton Coal
Sun 10 Mar 2019 14:58,Thu 28 Mar 2019 00:00,D SKALKEAS,South Anchorage 06,Hay Point,Wilhelmsen Ships Services (Mackay),HPS Berth 2
Sun 10 Mar 2019 19:00,Thu 14 Mar 2019 23:59,ISLAND BAY,Fisherman Island General Purpose Berth,Brisbane,Wave Shipping Pty Ltd,SEA
Sun 10 Mar 2019 21:37,Wed 27 Mar 2019 00:00,JIN QI,South Anchorage 10,Hay Point,Inchcape Shipping Services (Queensland),DBCT Berth 1
Sun 11 Nov 2018 16:00,,MDT 81,Queensport,Brisbane,Bhagwan Marine Brisbane,
Sun 12 Jun 2016 21:38,,SL KOUMALA,Raptis Trawler Berths,Brisbane,Owner / Agent / Master (Brisbane),
Sun 17 Feb 2019 13:39,Tue 19 Mar 2019 00:00,OCEAN CREATION,North Anchorage 14,Hay Point,Inchcape Shipping Services (Queensland),DBCT Berth 1
Sun 20 May 2018 18:00,,PACIFIC TITAN,Marina,Gladstone,Fodico Pty Ltd,
Sun 20 May 2018 18:00,,TARGETLINE 1201,Marina,Gladstone,Fodico Pty Ltd,
Sun 20 May 2018 19:55,,RAPID INTERCEPTOR,Skardon River Anchorage,Skardon River,Transhipment Services Australia Pty Ltd,
Sun 23 Dec 2018 06:35,,PMG SAILFISH,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Sun 23 Dec 2018 06:35,,PMG 123,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Sun 25 Nov 2018 16:06,,MAEVE ANNE,Queensport,Brisbane,Bhagwan Marine Brisbane,
Sun 30 Dec 2018 19:00,,SAMSON 7,Bulk Loading Facility,Skardon River,Transhipment Services Australia Pty Ltd,
Thu 01 Nov 2018 07:16,,MERMAID CHIEFTAN,NQEA Cairns Slipway,Cairns,Coral Coast Oceaneering Pty Ltd,
Thu 01 Nov 2018 07:16,,REEFWORLD 2,NQEA Cairns Slipway,Cairns,Coral Coast Oceaneering Pty Ltd,
Thu 04 Aug 2016 14:00,,SUNRISE,Queensport,Brisbane,Bhagwan Marine Brisbane,
Thu 04 Jan 2018 12:30,,TEMPLE BAY,Admiralty Anchorage,Cairns,Sea Swift Pty Ltd,
Thu 06 Dec 2018 16:00,,CHARLIE GRACE,Rivergate Yacht Marina,Brisbane,Owner / Agent / Master (Brisbane),
Thu 07 Feb 2019 00:10,Wed 27 Mar 2019 00:00,NAVIOS ALTAIR I,Off Shore Anchorage 18,Hay Point,Inchcape Shipping Services (Queensland),DBCT Berth 1
Thu 07 Feb 2019 03:00,Thu 21 Mar 2019 00:00,AQUA HONOR,Off Shore Anchorage 13,Hay Point,LBH Australia Pty Ltd (Mackay),DBCT Berth 1
Thu 07 Feb 2019 12:30,,IRONCLAD 1,Hey River,Weipa,Nathan River Resources Logistics,
Thu 07 Mar 2019 02:48,Sun 17 Mar 2019 00:00,SEA RISING,North Anchorage 18,Hay Point,Wilhelmsen Ships Services (Mackay),DBCT Berth 3
Thu 07 Mar 2019 05:54,Sat 23 Mar 2019 00:00,AFRICAN BLUE CRANE,North Anchorage 25,Hay Point,LBH Australia Pty Ltd (Mackay),DBCT Berth 1
Thu 07 Mar 2019 09:36,Sun 17 Mar 2019 09:00,KENAN,Anchorage ^B,Weipa,Wilhelmsen Ships Service (Weipa),Lorim West
Thu 07 Mar 2019 11:11,,GABO,Cairns 06 Wharf,Cairns,Svitzer Tugs (Cairns Region),
Thu 07 Mar 2019 11:11,,GHT 22,Cairns 06 Wharf,Cairns,Svitzer Tugs (Cairns Region),
Thu 07 Mar 2019 12:42,Sat 23 Mar 2019 11:00,GENCO THUNDER,North Anchorage 15,Hay Point,Sturrock Grindrod Maritime (Mackay),DBCT Berth 1
Thu 07 Mar 2019 15:40,Thu 21 Mar 2019 15:00,ARION,Tropical Reef Slipway,Cairns,Sea Swift Pty Ltd,SEA
Thu 07 Mar 2019 16:25,Fri 22 Mar 2019 00:00,HL GLADSTONE,North Anchorage 13,Hay Point,LBH Australia Pty Ltd (Mackay),DBCT Berth 1
Thu 07 Mar 2019 23:40,Tue 19 Mar 2019 00:00,AQUAVOYAGEURS,Off Shore Anchorage 07,Hay Point,LBH Australia Pty Ltd (Mackay),HPS Berth 3
Thu 14 Feb 2019 17:40,Thu 21 Mar 2019 00:00,MARTINE,Abbot Point Anchorage,Abbot Point,Monson Agencies Australia (Townsville & Abbot Point),Abbot Point To Be Confirmed
Thu 14 Feb 2019 20:40,,HT SALUTE,Queensport,Brisbane,East Coast Maritime Pty Ltd,
Thu 14 Feb 2019 20:40,,STEEL RANGER,Queensport,Brisbane,East Coast Maritime Pty Ltd,
Thu 14 Mar 2019 01:00,Mon 18 Mar 2019 12:34,XING NING HAI,Cement Australia Berth,Brisbane,Wave Shipping Pty Ltd,SEA
Thu 14 Mar 2019 01:25,Tue 19 Mar 2019 00:00,INA,North Anchorage 07,Hay Point,LBH Australia Pty Ltd (Mackay),DBCT Berth 2
Thu 14 Mar 2019 03:30,Sat 16 Mar 2019 06:00,TIAN LU HAI,HPS Berth 3,Hay Point,Gulf Agency Company (Mackay),SEA Channel Departure
Thu 14 Mar 2019 05:06,Thu 14 Mar 2019 16:07,STAATEN RIVER,Duck Pond,Cairns,Sea Swift Pty Ltd,Cairns 01 Wharf
Thu 14 Mar 2019 05:06,,CHRYSUS,Duck Pond,Cairns,Sea Swift Pty Ltd,
Thu 14 Mar 2019 05:09,Thu 14 Mar 2019 23:00,ST. PAULI,Townsville 01,Townsville,Gulf Agency Company (Northern Ports),SEA
Thu 14 Mar 2019 05:43,Fri 15 Mar 2019 08:00,FSL HAMBURG,Auckland Point 3,Gladstone,Gulf Agency Company (Gladstone),SEA
Thu 14 Mar 2019 06:25,,BRUCE,Marina,Gladstone,Curtis Island Service Pty Ltd ,
Thu 14 Mar 2019 06:50,Fri 15 Mar 2019 10:30,SCF MITRE,Queensland Curtis LNG,Gladstone,Gulf Agency Company (Gladstone),SEA
Thu 14 Mar 2019 06:59,Fri 15 Mar 2019 09:00,OCEAN UTE,Townsville 03 South,Townsville,Wilhelmsen Ships Service (Townsville),SEA
Thu 14 Mar 2019 07:05,Thu 14 Mar 2019 17:30,PACIFIC DAWN,Pioneer Bay,Whitsunday,Inchcape Shipping Services (Queensland),SEA WHIT
Thu 14 Mar 2019 07:15,Fri 15 Mar 2019 07:00,TYANA,HPS Berth 1,Hay Point,LBH Australia Pty Ltd (Mackay),SEA Paddock Departure
Thu 14 Mar 2019 07:48,Fri 15 Mar 2019 17:00,RED LOTUS,South Anchorage 12,Hay Point,Wilhelmsen Ships Services (Mackay),HPS Berth 2
Thu 14 Mar 2019 07:53,Thu 14 Mar 2019 10:45,NEWCASTLE BAY,Cairns 10 Wharf,Cairns,Sea Swift Pty Ltd,Cairns 04 Wharf
